sweep	scenario	trait	delta	seed	steps	conversions	syncretisms	retention_rate	conv_to_salvation	conv_to_practical	conv_to_other	early_conversions	early_convert_retention
anxiety	baseline	anxiety	-0.20	1	50	276	104	0.957	62	67	147	69	1.000
anxiety	baseline	anxiety	-0.20	2	50	314	125	0.951	54	81	179	81	1.000
anxiety	baseline	anxiety	-0.20	3	50	289	102	0.955	51	83	155	74	1.000
anxiety	baseline	anxiety	-0.20	4	50	276	112	0.957	51	87	138	66	1.000
anxiety	baseline	anxiety	-0.20	5	50	265	82	0.959	47	78	140	57	1.000
anxiety	baseline	anxiety	-0.20	6	50	275	94	0.957	56	66	153	53	1.000
anxiety	baseline	anxiety	-0.20	7	50	308	114	0.952	59	79	170	73	1.000
anxiety	baseline	anxiety	-0.20	8	50	273	96	0.957	47	69	157	61	1.000
anxiety	baseline	anxiety	-0.20	9	50	284	103	0.956	53	72	159	71	1.000
anxiety	baseline	anxiety	-0.20	10	50	284	98	0.956	40	62	182	71	1.000
anxiety	baseline	anxiety	-0.10	1	50	279	105	0.956	62	69	148	66	1.000
anxiety	baseline	anxiety	-0.10	2	50	315	124	0.951	54	82	179	77	1.000
anxiety	baseline	anxiety	-0.10	3	50	288	104	0.955	51	83	154	74	1.000
anxiety	baseline	anxiety	-0.10	4	50	273	109	0.957	50	86	137	72	1.000
anxiety	baseline	anxiety	-0.10	5	50	270	82	0.958	46	78	146	57	1.000
anxiety	baseline	anxiety	-0.10	6	50	276	95	0.957	56	69	151	60	1.000
anxiety	baseline	anxiety	-0.10	7	50	307	114	0.952	58	80	169	73	1.000
anxiety	baseline	anxiety	-0.10	8	50	272	99	0.958	47	68	157	59	1.000
anxiety	baseline	anxiety	-0.10	9	50	287	105	0.955	53	73	161	71	1.000
anxiety	baseline	anxiety	-0.10	10	50	285	99	0.955	41	62	182	66	1.000
anxiety	baseline	anxiety	+0.00	1	50	278	105	0.957	61	68	149	65	1.000
anxiety	baseline	anxiety	+0.00	2	50	313	122	0.951	54	81	178	85	1.000
anxiety	baseline	anxiety	+0.00	3	50	290	102	0.955	51	79	160	75	1.000
anxiety	baseline	anxiety	+0.00	4	50	275	111	0.957	51	86	138	74	1.000
anxiety	baseline	anxiety	+0.00	5	50	269	83	0.958	46	80	143	60	1.000
anxiety	baseline	anxiety	+0.00	6	50	275	95	0.957	56	70	149	63	1.000
anxiety	baseline	anxiety	+0.00	7	50	311	115	0.951	58	79	174	73	1.000
anxiety	baseline	anxiety	+0.00	8	50	274	98	0.957	46	68	160	62	1.000
anxiety	baseline	anxiety	+0.00	9	50	286	102	0.955	52	74	160	70	1.000
anxiety	baseline	anxiety	+0.00	10	50	283	100	0.956	40	63	180	64	1.000
anxiety	baseline	anxiety	+0.10	1	50	277	105	0.957	62	69	146	63	1.000
anxiety	baseline	anxiety	+0.10	2	50	314	124	0.951	54	81	179	81	1.000
anxiety	baseline	anxiety	+0.10	3	50	291	100	0.955	51	79	161	80	1.000
anxiety	baseline	anxiety	+0.10	4	50	274	113	0.957	51	90	133	79	1.000
anxiety	baseline	anxiety	+0.10	5	50	270	82	0.958	46	81	143	61	1.000
anxiety	baseline	anxiety	+0.10	6	50	279	96	0.956	56	71	152	63	1.000
anxiety	baseline	anxiety	+0.10	7	50	313	116	0.951	59	79	175	80	1.000
anxiety	baseline	anxiety	+0.10	8	50	275	99	0.957	46	69	160	65	1.000
anxiety	baseline	anxiety	+0.10	9	50	289	103	0.955	53	75	161	75	1.000
anxiety	baseline	anxiety	+0.10	10	50	285	98	0.955	40	64	181	66	1.000
anxiety	baseline	anxiety	+0.20	1	50	277	104	0.957	62	70	145	67	1.000
anxiety	baseline	anxiety	+0.20	2	50	318	123	0.950	54	84	180	87	1.000
anxiety	baseline	anxiety	+0.20	3	50	290	100	0.955	51	81	158	82	1.000
anxiety	baseline	anxiety	+0.20	4	50	279	110	0.956	51	88	140	82	1.000
anxiety	baseline	anxiety	+0.20	5	50	271	82	0.958	46	81	144	65	1.000
anxiety	baseline	anxiety	+0.20	6	50	282	95	0.956	56	68	158	61	1.000
anxiety	baseline	anxiety	+0.20	7	50	312	114	0.951	59	78	175	80	1.000
anxiety	baseline	anxiety	+0.20	8	50	277	98	0.957	47	67	163	66	1.000
anxiety	baseline	anxiety	+0.20	9	50	287	104	0.955	53	74	160	73	1.000
anxiety	baseline	anxiety	+0.20	10	50	289	101	0.955	41	65	183	67	1.000
anxiety	famine	anxiety	-0.20	1	50	1025	241	0.844	390	601	34	524	0.987
anxiety	famine	anxiety	-0.20	2	50	1080	239	0.837	408	634	38	573	0.981
anxiety	famine	anxiety	-0.20	3	50	1053	229	0.840	401	618	34	546	0.993
anxiety	famine	anxiety	-0.20	4	50	993	236	0.849	389	566	38	507	0.996
anxiety	famine	anxiety	-0.20	5	50	1006	228	0.845	354	624	28	549	0.995
anxiety	famine	anxiety	-0.20	6	50	1024	221	0.844	356	623	45	555	0.984
anxiety	famine	anxiety	-0.20	7	50	1119	264	0.829	385	697	37	631	0.995
anxiety	famine	anxiety	-0.20	8	50	1057	240	0.840	367	646	44	572	0.990
anxiety	famine	anxiety	-0.20	9	50	1099	242	0.833	394	661	44	588	0.991
anxiety	famine	anxiety	-0.20	10	50	1036	218	0.844	378	615	43	546	0.985
anxiety	famine	anxiety	-0.10	1	50	1040	237	0.842	384	616	40	551	0.985
anxiety	famine	anxiety	-0.10	2	50	1090	243	0.836	408	646	36	575	0.981
anxiety	famine	anxiety	-0.10	3	50	1052	226	0.840	399	616	37	565	0.993
anxiety	famine	anxiety	-0.10	4	50	1012	237	0.846	394	577	41	526	0.987
anxiety	famine	anxiety	-0.10	5	50	1024	227	0.843	351	639	34	569	0.991
anxiety	famine	anxiety	-0.10	6	50	1032	215	0.843	357	630	45	570	0.988
anxiety	famine	anxiety	-0.10	7	50	1136	263	0.827	386	717	33	639	0.994
anxiety	famine	anxiety	-0.10	8	50	1064	235	0.840	370	651	43	584	0.991
anxiety	famine	anxiety	-0.10	9	50	1106	238	0.832	390	676	40	594	0.987
anxiety	famine	anxiety	-0.10	10	50	1037	223	0.843	374	624	39	555	0.986
anxiety	famine	anxiety	+0.00	1	50	1050	239	0.840	398	618	34	553	0.991
anxiety	famine	anxiety	+0.00	2	50	1089	236	0.836	401	647	41	582	0.979
