sweep	scenario	trait	delta	seed	steps	conversions	syncretisms	retention_rate	conv_to_salvation	conv_to_practical	conv_to_other	early_conversions	early_convert_retention
authority	baseline	authority_trust	-0.20	1	50	6	3	0.900	3	3	0	1	1.000
authority	baseline	authority_trust	-0.20	2	50	4	3	0.933	2	1	1	0	
authority	baseline	authority_trust	-0.20	3	50	6	2	0.900	3	2	1	2	1.000
authority	baseline	authority_trust	-0.20	4	50	5	4	0.917	1	3	1	3	1.000
authority	baseline	authority_trust	-0.20	5	50	0	0	1.000	0	0	0	0	
authority	baseline	authority_trust	-0.20	6	50	1	1	0.983	1	0	0	0	
authority	baseline	authority_trust	-0.20	7	50	6	3	0.900	1	1	4	1	1.000
authority	baseline	authority_trust	-0.20	8	50	5	0	0.917	1	3	1	1	1.000
authority	baseline	authority_trust	-0.20	9	50	4	2	0.933	1	2	1	3	1.000
authority	baseline	authority_trust	-0.20	10	50	4	1	0.933	2	2	0	1	1.000
authority	baseline	authority_trust	-0.20	11	50	2	0	0.967	0	1	1	0	
authority	baseline	authority_trust	-0.20	12	50	5	3	0.917	2	3	0	2	1.000
authority	baseline	authority_trust	-0.20	13	50	4	3	0.933	2	2	0	2	1.000
authority	baseline	authority_trust	-0.20	14	50	1	0	0.983	0	0	1	0	
authority	baseline	authority_trust	-0.20	15	50	6	4	0.900	3	3	0	3	1.000
authority	baseline	authority_trust	-0.20	16	50	3	2	0.950	1	2	0	0	
authority	baseline	authority_trust	-0.20	17	50	3	1	0.950	1	2	0	2	1.000
authority	baseline	authority_trust	-0.20	18	50	2	2	0.967	1	0	1	0	
authority	baseline	authority_trust	-0.20	19	50	3	2	0.950	1	1	1	3	1.000
authority	baseline	authority_trust	-0.20	20	50	3	2	0.950	0	2	1	2	1.000
authority	baseline	authority_trust	-0.20	21	50	6	4	0.900	3	2	1	1	1.000
authority	baseline	authority_trust	-0.20	22	50	7	2	0.883	3	3	1	3	1.000
authority	baseline	authority_trust	-0.20	23	50	4	1	0.933	0	3	1	1	1.000
authority	baseline	authority_trust	-0.20	24	50	9	4	0.850	1	6	2	3	1.000
