sweep	scenario	trait	delta	seed	steps	conversions	syncretisms	retention_rate	conv_to_salvation	conv_to_practical	conv_to_other	early_conversions	early_convert_retention
bridge_density	miracle_rumor	bridge_density	+5.00	1	50	5976	86	0.097	46	71	5859	120	0.067
bridge_density	miracle_rumor	bridge_density	+5.00	2	50	5969	91	0.100	40	84	5845	134	0.015
bridge_density	miracle_rumor	bridge_density	+5.00	3	50	5942	79	0.106	42	91	5809	135	0.022
bridge_density	miracle_rumor	bridge_density	+5.00	4	50	5929	87	0.103	47	63	5819	98	0.041
bridge_density	miracle_rumor	bridge_density	+5.00	5	50	5959	70	0.100	40	79	5840	119	0.042
bridge_density	miracle_rumor	bridge_density	+5.00	6	50	5982	96	0.097	48	64	5870	117	0.043
bridge_density	miracle_rumor	bridge_density	+5.00	7	50	5993	96	0.096	41	67	5885	117	0.026
bridge_density	miracle_rumor	bridge_density	+5.00	8	50	5952	75	0.099	47	58	5847	104	0.010
bridge_density	miracle_rumor	bridge_density	+5.00	9	50	5959	82	0.099	41	69	5849	106	0.028
bridge_density	miracle_rumor	bridge_density	+5.00	10	50	5971	95	0.100	39	69	5863	115	0.026
bridge_density	miracle_rumor	bridge_density	+10.00	1	50	5985	80	0.097	48	87	5850	134	0.075
bridge_density	miracle_rumor	bridge_density	+10.00	2	50	5987	90	0.099	39	97	5851	141	0.035
bridge_density	miracle_rumor	bridge_density	+10.00	3	50	5964	89	0.105	43	103	5818	150	0.020
bridge_density	miracle_rumor	bridge_density	+10.00	4	50	5941	90	0.103	44	75	5822	109	0.037
bridge_density	miracle_rumor	bridge_density	+10.00	5	50	5956	70	0.101	39	83	5834	123	0.049
bridge_density	miracle_rumor	bridge_density	+10.00	6	50	5979	94	0.096	47	71	5861	123	0.033
bridge_density	miracle_rumor	bridge_density	+10.00	7	50	6003	100	0.096	44	77	5882	130	0.015
bridge_density	miracle_rumor	bridge_density	+10.00	8	50	5962	86	0.099	41	68	5853	107	0.009
bridge_density	miracle_rumor	bridge_density	+10.00	9	50	5963	87	0.099	45	79	5839	124	0.048
bridge_density	miracle_rumor	bridge_density	+10.00	10	50	5965	86	0.100	39	73	5853	117	0.051
bridge_density	miracle_rumor	bridge_density	+20.00	1	50	5996	102	0.097	51	100	5845	145	0.097
bridge_density	miracle_rumor	bridge_density	+20.00	2	50	6004	108	0.099	44	110	5850	151	0.040
bridge_density	miracle_rumor	bridge_density	+20.00	3	50	5990	89	0.103	43	117	5830	159	0.031
bridge_density	miracle_rumor	bridge_density	+20.00	4	50	5938	102	0.104	43	81	5814	116	0.060
bridge_density	miracle_rumor	bridge_density	+20.00	5	50	5958	79	0.100	39	95	5824	129	0.085
bridge_density	miracle_rumor	bridge_density	+20.00	6	50	5993	92	0.096	48	90	5855	130	0.038
bridge_density	miracle_rumor	bridge_density	+20.00	7	50	6018	119	0.095	51	94	5873	142	0.049
bridge_density	miracle_rumor	bridge_density	+20.00	8	50	5964	94	0.099	40	82	5842	125	0.056
bridge_density	miracle_rumor	bridge_density	+20.00	9	50	5986	95	0.098	44	100	5842	129	0.047
bridge_density	miracle_rumor	bridge_density	+20.00	10	50	5980	92	0.099	33	96	5851	128	0.070
bridge_density	miracle_rumor	bridge_density	+40.00	1	50	6027	113	0.095	47	143	5837	172	0.122
bridge_density	miracle_rumor	bridge_density	+40.00	2	50	6015	118	0.098	47	145	5823	161	0.087
bridge_density	miracle_rumor	bridge_density	+40.00	3	50	6028	109	0.102	48	161	5819	183	0.077
bridge_density	miracle_rumor	bridge_density	+40.00	4	50	5988	117	0.102	48	133	5807	161	0.093
bridge_density	miracle_rumor	bridge_density	+40.00	5	50	6019	92	0.099	50	159	5810	167	0.132
bridge_density	miracle_rumor	bridge_density	+40.00	6	50	6034	123	0.095	55	133	5846	170	0.082
bridge_density	miracle_rumor	bridge_density	+40.00	7	50	6037	130	0.095	57	138	5842	163	0.104
bridge_density	miracle_rumor	bridge_density	+40.00	8	50	6009	117	0.095	41	120	5848	153	0.098
bridge_density	miracle_rumor	bridge_density	+40.00	9	50	6037	127	0.097	55	145	5837	165	0.073
bridge_density	miracle_rumor	bridge_density	+40.00	10	50	5994	98	0.097	36	125	5833	142	0.099
