sweep	scenario	trait	delta	seed	steps	conversions	syncretisms	retention_rate	conv_to_salvation	conv_to_practical	conv_to_other	early_conversions	early_convert_retention
community	baseline	community_dependence	-0.20	1	50	231	113	0.964	109	107	15	85	1.000
community	baseline	community_dependence	-0.20	2	50	249	123	0.961	117	127	5	76	1.000
community	baseline	community_dependence	-0.20	3	50	217	92	0.966	99	105	13	77	1.000
community	baseline	community_dependence	-0.20	4	50	213	102	0.967	97	106	10	63	1.000
community	baseline	community_dependence	-0.20	5	50	204	89	0.968	89	101	14	63	1.000
community	baseline	community_dependence	-0.20	6	50	195	102	0.970	98	85	12	62	1.000
community	baseline	community_dependence	-0.20	7	50	227	121	0.965	108	105	14	64	1.000
community	baseline	community_dependence	-0.20	8	50	195	95	0.970	97	84	14	54	1.000
community	baseline	community_dependence	-0.20	9	50	219	115	0.966	100	104	15	77	1.000
community	baseline	community_dependence	-0.20	10	50	207	96	0.968	98	84	25	72	1.000
community	baseline	community_dependence	-0.10	1	50	209	100	0.967	94	88	27	75	1.000
community	baseline	community_dependence	-0.10	2	50	232	110	0.964	100	104	28	78	1.000
community	baseline	community_dependence	-0.10	3	50	215	96	0.966	90	97	28	74	1.000
community	baseline	community_dependence	-0.10	4	50	206	96	0.968	80	98	28	67	1.000
community	baseline	community_dependence	-0.10	5	50	187	72	0.971	77	90	20	53	1.000
community	baseline	community_dependence	-0.10	6	50	183	93	0.971	84	77	22	63	1.000
community	baseline	community_dependence	-0.10	7	50	218	108	0.966	95	97	26	66	1.000
community	baseline	community_dependence	-0.10	8	50	196	95	0.969	83	87	26	58	1.000
community	baseline	community_dependence	-0.10	9	50	200	100	0.969	83	95	22	74	1.000
community	baseline	community_dependence	-0.10	10	50	188	80	0.971	80	76	32	54	1.000
community	baseline	community_dependence	+0.00	1	50	278	105	0.957	61	68	149	65	1.000
community	baseline	community_dependence	+0.00	2	50	313	122	0.951	54	81	178	85	1.000
community	baseline	community_dependence	+0.00	3	50	290	102	0.955	51	79	160	75	1.000
community	baseline	community_dependence	+0.00	4	50	275	111	0.957	51	86	138	74	1.000
community	baseline	community_dependence	+0.00	5	50	269	83	0.958	46	80	143	60	1.000
