sweep	scenario	trait	delta	seed	steps	conversions	syncretisms	retention_rate	conv_to_salvation	conv_to_practical	conv_to_other	early_conversions	early_convert_retention
initial_share_robustness	baseline	init_shares	+0.00	1	50	278	105	0.957	61	68	149	65	1.000
initial_share_robustness	baseline	init_shares	+0.00	2	50	313	122	0.951	54	81	178	85	1.000
initial_share_robustness	baseline	init_shares	+0.00	3	50	290	102	0.955	51	79	160	75	1.000
initial_share_robustness	baseline	init_shares	+0.00	4	50	275	111	0.957	51	86	138	74	1.000
initial_share_robustness	baseline	init_shares	+0.00	5	50	269	83	0.958	46	80	143	60	1.000
initial_share_robustness	baseline	init_shares	+0.00	6	50	275	95	0.957	56	70	149	63	1.000
initial_share_robustness	baseline	init_shares	+0.00	7	50	311	115	0.951	58	79	174	73	1.000
initial_share_robustness	baseline	init_shares	+0.00	8	50	274	98	0.957	46	68	160	62	1.000
initial_share_robustness	baseline	init_shares	+0.00	9	50	286	102	0.955	52	74	160	70	1.000
initial_share_robustness	baseline	init_shares	+0.00	10	50	283	100	0.956	40	63	180	64	1.000
initial_share_robustness	baseline	init_shares	+1.00	1	50	197	88	0.969	55	80	62	66	1.000
initial_share_robustness	baseline	init_shares	+1.00	2	50	231	101	0.964	56	91	84	83	1.000
initial_share_robustness	baseline	init_shares	+1.00	3	50	220	89	0.966	60	89	71	61	1.000
initial_share_robustness	baseline	init_shares	+1.00	4	50	214	97	0.967	49	97	68	69	1.000
initial_share_robustness	baseline	init_shares	+1.00	5	50	208	74	0.968	50	90	68	63	1.000
initial_share_robustness	baseline	init_shares	+1.00	6	50	189	80	0.970	53	77	59	60	1.000
initial_share_robustness	baseline	init_shares	+1.00	7	50	228	92	0.964	61	88	79	72	1.000
initial_share_robustness	baseline	init_shares	+1.00	8	50	192	84	0.970	49	80	63	72	1.000
initial_share_robustness	baseline	init_shares	+1.00	9	50	209	88	0.967	58	87	64	59	1.000
initial_share_robustness	baseline	init_shares	+1.00	10	50	193	69	0.970	44	76	73	55	1.000
initial_share_robustness	baseline	init_shares	+2.00	1	50	340	143	0.947	80	67	193	81	1.000
initial_share_robustness	baseline	init_shares	+2.00	2	50	374	158	0.942	71	82	221	105	1.000
initial_share_robustness	baseline	init_shares	+2.00	3	50	360	143	0.944	79	80	201	92	1.000
initial_share_robustness	baseline	init_shares	+2.00	4	50	341	145	0.947	70	91	180	100	1.000
initial_share_robustness	baseline	init_shares	+2.00	5	50	360	135	0.944	73	79	208	101	1.000
initial_share_robustness	baseline	init_shares	+2.00	6	50	355	133	0.945	80	68	207	92	1.000
initial_share_robustness	baseline	init_shares	+2.00	7	50	377	148	0.941	81	79	217	96	1.000
initial_share_robustness	baseline	init_shares	+2.00	8	50	345	138	0.946	69	66	210	89	1.000
initial_share_robustness	baseline	init_shares	+2.00	9	50	361	144	0.944	85	70	206	93	1.000
initial_share_robustness	baseline	init_shares	+2.00	10	50	350	139	0.945	56	65	229	84	1.000
initial_share_robustness	baseline	init_shares	+3.00	1	50	306	104	0.952	44	40	222	65	1.000
initial_share_robustness	baseline	init_shares	+3.00	2	50	341	118	0.947	40	45	256	59	1.000
initial_share_robustness	baseline	init_shares	+3.00	3	50	306	96	0.952	40	38	228	65	1.000
initial_share_robustness	baseline	init_shares	+3.00	4	50	316	110	0.951	35	46	235	67	1.000
initial_share_robustness	baseline	init_shares	+3.00	5	50	299	74	0.953	35	45	219	52	1.000
initial_share_robustness	baseline	init_shares	+3.00	6	50	337	97	0.947	47	44	246	57	1.000
initial_share_robustness	baseline	init_shares	+3.00	7	50	352	120	0.945	45	46	261	64	1.000
initial_share_robustness	baseline	init_shares	+3.00	8	50	320	99	0.950	36	46	238	71	1.000
initial_share_robustness	baseline	init_shares	+3.00	9	50	312	93	0.951	42	37	233	56	1.000
initial_share_robustness	baseline	init_shares	+3.00	10	50	319	101	0.950	33	31	255	56	1.000
initial_share_robustness	baseline	init_shares	+4.00	1	50	276	105	0.957	61	69	146	65	1.000
initial_share_robustness	baseline	init_shares	+4.00	2	50	314	125	0.951	52	82	180	81	1.000
initial_share_robustness	baseline	init_shares	+4.00	3	50	291	99	0.955	49	81	161	76	1.000
initial_share_robustness	baseline	init_shares	+4.00	4	50	274	111	0.957	49	86	139	78	1.000
initial_share_robustness	baseline	init_shares	+4.00	5	50	267	82	0.958	44	81	142	59	1.000
initial_share_robustness	baseline	init_shares	+4.00	6	50	276	97	0.957	56	70	150	62	1.000
initial_share_robustness	baseline	init_shares	+4.00	7	50	310	114	0.952	57	80	173	75	1.000
initial_share_robustness	baseline	init_shares	+4.00	8	50	275	98	0.957	46	67	162	63	1.000
initial_share_robustness	baseline	init_shares	+4.00	9	50	289	102	0.955	52	76	161	67	1.000
initial_share_robustness	baseline	init_shares	+4.00	10	50	289	99	0.955	39	62	188	65	1.000
initial_share_robustness	famine	init_shares	+0.00	1	50	1050	239	0.840	398	618	34	553	0.991
initial_share_robustness	famine	init_shares	+0.00	2	50	1089	236	0.836	401	647	41	582	0.979
initial_share_robustness	famine	init_shares	+0.00	3	50	1066	227	0.838	398	632	36	581	0.991
initial_share_robustness	famine	init_shares	+0.00	4	50	1017	234	0.845	393	586	38	522	0.994
initial_share_robustness	famine	init_shares	+0.00	5	50	1047	227	0.840	363	655	29	589	0.993
initial_share_robustness	famine	init_shares	+0.00	6	50	1069	214	0.838	363	666	40	591	0.990
initial_share_robustness	famine	init_shares	+0.00	7	50	1134	256	0.827	379	719	36	646	0.994
initial_share_robustness	famine	init_shares	+0.00	8	50	1089	245	0.836	370	674	45	607	0.987
initial_share_robustness	famine	init_shares	+0.00	9	50	1117	232	0.830	390	684	43	615	0.997
initial_share_robustness	famine	init_shares	+0.00	10	50	1057	219	0.840	375	638	44	572	0.988
initial_share_robustness	famine	init_shares	+1.00	1	50	1682	267	0.742	422	1250	10	1060	1.000
initial_share_robustness	famine	init_shares	+1.00	2	50	1774	264	0.727	414	1352	8	1135	0.999
initial_share_robustness	famine	init_shares	+1.00	3	50	1716	260	0.736	424	1282	10	1083	0.998
initial_share_robustness	famine	init_shares	+1.00	4	50	1584	252	0.755	429	1146	9	971	0.998
initial_share_robustness	famine	init_shares	+1.00	5	50	1551	257	0.759	401	1145	5	985	0.999
initial_share_robustness	famine	init_shares	+1.00	6	50	1636	226	0.748	378	1244	14	1084	0.998
initial_share_robustness	famine	init_shares	+1.00	7	50	1802	260	0.723	404	1393	5	1206	1.000
initial_share_robustness	famine	init_shares	+1.00	8	50	1690	264	0.740	401	1280	9	1108	0.996
initial_share_robustness	famine	init_shares	+1.00	9	50	1656	246	0.745	428	1213	15	1030	0.995
initial_share_robustness	famine	init_shares	+1.00	10	50	1616	249	0.750	386	1222	8	1056	0.999
initial_share_robustness	famine	init_shares	+2.00	1	50	1201	292	0.825	477	663	61	608	0.921
