sweep	scenario	trait	delta	seed	steps	conversions	syncretisms	retention_rate	conv_to_salvation	conv_to_practical	conv_to_other	early_conversions	early_convert_retention
practical_need	baseline	practical_benefit_need	-0.20	1	50	570	78	0.911	78	8	484	50	1.000
practical_need	baseline	practical_benefit_need	-0.20	2	50	563	97	0.912	68	9	486	64	1.000
practical_need	baseline	practical_benefit_need	-0.20	3	50	574	75	0.910	70	6	498	54	1.000
practical_need	baseline	practical_benefit_need	-0.20	4	50	552	82	0.914	65	12	475	57	1.000
practical_need	baseline	practical_benefit_need	-0.20	5	50	616	73	0.904	57	7	552	58	1.000
practical_need	baseline	practical_benefit_need	-0.20	6	50	589	72	0.908	68	7	514	54	1.000
practical_need	baseline	practical_benefit_need	-0.20	7	50	639	93	0.900	73	9	557	61	1.000
practical_need	baseline	practical_benefit_need	-0.20	8	50	644	107	0.899	66	8	570	63	1.000
practical_need	baseline	practical_benefit_need	-0.20	9	50	622	90	0.903	70	8	544	52	1.000
practical_need	baseline	practical_benefit_need	-0.20	10	50	621	82	0.903	52	5	564	60	1.000
practical_need	baseline	practical_benefit_need	-0.10	1	50	304	93	0.953	78	22	204	54	1.000
practical_need	baseline	practical_benefit_need	-0.10	2	50	343	109	0.946	65	25	253	52	1.000
practical_need	baseline	practical_benefit_need	-0.10	3	50	311	87	0.951	66	22	223	44	1.000
practical_need	baseline	practical_benefit_need	-0.10	4	50	315	98	0.951	65	24	226	52	1.000
practical_need	baseline	practical_benefit_need	-0.10	5	50	301	74	0.953	55	27	219	53	1.000
practical_need	baseline	practical_benefit_need	-0.10	6	50	316	80	0.951	66	21	229	41	1.000
practical_need	baseline	practical_benefit_need	-0.10	7	50	350	103	0.945	69	22	259	43	1.000
practical_need	baseline	practical_benefit_need	-0.10	8	50	316	93	0.951	62	28	226	59	1.000
practical_need	baseline	practical_benefit_need	-0.10	9	50	325	89	0.949	69	22	234	53	1.000
practical_need	baseline	practical_benefit_need	-0.10	10	50	328	88	0.949	48	16	264	56	1.000
practical_need	baseline	practical_benefit_need	+0.00	1	50	278	105	0.957	61	68	149	65	1.000
practical_need	baseline	practical_benefit_need	+0.00	2	50	313	122	0.951	54	81	178	85	1.000
practical_need	baseline	practical_benefit_need	+0.00	3	50	290	102	0.955	51	79	160	75	1.000
practical_need	baseline	practical_benefit_need	+0.00	4	50	275	111	0.957	51	86	138	74	1.000
practical_need	baseline	practical_benefit_need	+0.00	5	50	269	83	0.958	46	80	143	60	1.000
practical_need	baseline	practical_benefit_need	+0.00	6	50	275	95	0.957	56	70	149	63	1.000
practical_need	baseline	practical_benefit_need	+0.00	7	50	311	115	0.951	58	79	174	73	1.000
practical_need	baseline	practical_benefit_need	+0.00	8	50	274	98	0.957	46	68	160	62	1.000
practical_need	baseline	practical_benefit_need	+0.00	9	50	286	102	0.955	52	74	160	70	1.000
practical_need	baseline	practical_benefit_need	+0.00	10	50	283	100	0.956	40	63	180	64	1.000
practical_need	baseline	practical_benefit_need	+0.10	1	50	368	115	0.943	33	240	95	101	1.000
practical_need	baseline	practical_benefit_need	+0.10	2	50	388	111	0.939	28	255	105	111	1.000
practical_need	baseline	practical_benefit_need	+0.10	3	50	372	103	0.942	33	240	99	118	1.000
practical_need	baseline	practical_benefit_need	+0.10	4	50	354	101	0.945	23	240	91	98	1.000
practical_need	baseline	practical_benefit_need	+0.10	5	50	353	83	0.945	29	230	94	112	1.000
practical_need	baseline	practical_benefit_need	+0.10	6	50	388	116	0.939	34	229	125	102	1.000
practical_need	baseline	practical_benefit_need	+0.10	7	50	373	110	0.942	37	226	110	112	1.000
practical_need	baseline	practical_benefit_need	+0.10	8	50	354	96	0.945	28	214	112	100	1.000
practical_need	baseline	practical_benefit_need	+0.10	9	50	372	107	0.942	34	235	103	107	1.000
practical_need	baseline	practical_benefit_need	+0.10	10	50	357	85	0.944	15	237	105	99	1.000
practical_need	baseline	practical_benefit_need	+0.20	1	50	549	101	0.914	11	506	32	169	1.000
practical_need	baseline	practical_benefit_need	+0.20	2	50	530	90	0.917	8	487	35	192	1.000
practical_need	baseline	practical_benefit_need	+0.20	3	50	508	95	0.921	14	458	36	173	1.000
practical_need	baseline	practical_benefit_need	+0.20	4	50	492	98	0.923	11	446	35	162	1.000
practical_need	baseline	practical_benefit_need	+0.20	5	50	497	78	0.922	11	439	47	160	1.000
practical_need	baseline	practical_benefit_need	+0.20	6	50	515	97	0.920	13	446	56	153	1.000
practical_need	baseline	practical_benefit_need	+0.20	7	50	487	89	0.924	8	444	35	198	1.000
practical_need	baseline	practical_benefit_need	+0.20	8	50	481	82	0.925	5	434	42	141	1.000
practical_need	baseline	practical_benefit_need	+0.20	9	50	518	91	0.919	6	467	45	181	1.000
practical_need	baseline	practical_benefit_need	+0.20	10	50	524	88	0.918	4	466	54	169	1.000
practical_need	famine	practical_benefit_need	-0.20	1	50	1685	262	0.762	527	553	605	513	0.805
practical_need	famine	practical_benefit_need	-0.20	2	50	1577	292	0.776	502	554	521	495	0.881
practical_need	famine	practical_benefit_need	-0.20	3	50	1564	239	0.773	463	617	484	552	0.922
practical_need	famine	practical_benefit_need	-0.20	4	50	1596	264	0.770	496	555	545	505	0.883
practical_need	famine	practical_benefit_need	-0.20	5	50	1599	242	0.767	467	658	474	595	0.911
practical_need	famine	practical_benefit_need	-0.20	6	50	1574	238	0.773	490	574	510	527	0.873
practical_need	famine	practical_benefit_need	-0.20	7	50	1703	236	0.755	494	691	518	632	0.899
practical_need	famine	practical_benefit_need	-0.20	8	50	1603	261	0.769	488	607	508	563	0.877
practical_need	famine	practical_benefit_need	-0.20	9	50	1632	254	0.763	494	643	495	578	0.910
practical_need	famine	practical_benefit_need	-0.20	10	50	1604	263	0.770	489	588	527	538	0.898
practical_need	famine	practical_benefit_need	-0.10	1	50	1065	265	0.844	425	496	144	463	0.933
practical_need	famine	practical_benefit_need	-0.10	2	50	1113	276	0.840	423	537	153	480	0.938
practical_need	famine	practical_benefit_need	-0.10	3	50	1123	245	0.835	402	555	166	515	0.953
practical_need	famine	practical_benefit_need	-0.10	4	50	1080	285	0.843	431	494	155	455	0.956
practical_need	famine	practical_benefit_need	-0.10	5	50	1112	240	0.835	390	583	139	541	0.950
practical_need	famine	practical_benefit_need	-0.10	6	50	1091	226	0.840	403	542	146	505	0.945
practical_need	famine	practical_benefit_need	-0.10	7	50	1195	243	0.823	390	656	149	591	0.975
practical_need	famine	practical_benefit_need	-0.10	8	50	1114	260	0.837	389	562	163	503	0.948
practical_need	famine	practical_benefit_need	-0.10	9	50	1183	240	0.825	417	613	153	551	0.949
practical_need	famine	practical_benefit_need	-0.10	10	50	1095	257	0.842	403	522	170	477	0.943
practical_need	famine	practical_benefit_need	+0.00	1	50	1050	239	0.840	398	618	34	553	0.991
practical_need	famine	practical_benefit_need	+0.00	2	50	1089	236	0.836	401	647	41	582	0.979
practical_need	famine	practical_benefit_need	+0.00	3	50	1066	227	0.838	398	632	36	581	0.991
practical_need	famine	practical_benefit_need	+0.00	4	50	1017	234	0.845	393	586	38	522	0.994
practical_need	famine	practical_benefit_need	+0.00	5	50	1047	227	0.840	363	655	29	589	0.993
practical_need	famine	practical_benefit_need	+0.00	6	50	1069	214	0.838	363	666	40	591	0.990
practical_need	famine	practical_benefit_need	+0.00	7	50	1134	256	0.827	379	719	36	646	0.994
practical_need	famine	practical_benefit_need	+0.00	8	50	1089	245	0.836	370	674	45	607	0.987
