sweep	scenario	trait	delta	seed	steps	conversions	syncretisms	retention_rate	conv_to_salvation	conv_to_practical	conv_to_other	early_conversions	early_convert_retention
scenario_seeds	baseline	none	+0.00	1	50	6	3	0.900	3	3	0	1	1.000
scenario_seeds	baseline	none	+0.00	2	50	4	3	0.933	2	1	1	0	
scenario_seeds	baseline	none	+0.00	3	50	6	2	0.900	3	2	1	2	1.000
scenario_seeds	baseline	none	+0.00	4	50	5	4	0.917	1	3	1	3	1.000
scenario_seeds	baseline	none	+0.00	5	50	0	0	1.000	0	0	0	0	
scenario_seeds	baseline	none	+0.00	6	50	1	1	0.983	1	0	0	0	
scenario_seeds	baseline	none	+0.00	7	50	6	3	0.900	1	1	4	1	1.000
scenario_seeds	baseline	none	+0.00	8	50	5	0	0.917	1	2	2	1	1.000
scenario_seeds	baseline	none	+0.00	9	50	4	2	0.933	1	2	1	3	1.000
scenario_seeds	baseline	none	+0.00	10	50	4	1	0.933	2	2	0	1	1.000
scenario_seeds	baseline	none	+0.00	11	50	2	0	0.967	0	1	1	0	
scenario_seeds	baseline	none	+0.00	12	50	5	3	0.917	2	3	0	2	1.000
scenario_seeds	baseline	none	+0.00	13	50	4	3	0.933	2	2	0	2	1.000
scenario_seeds	baseline	none	+0.00	14	50	1	0	0.983	0	0	1	0	
scenario_seeds	baseline	none	+0.00	15	50	6	4	0.900	3	3	0	3	1.000
scenario_seeds	baseline	none	+0.00	16	50	3	2	0.950	1	2	0	0	
scenario_seeds	baseline	none	+0.00	17	50	3	1	0.950	1	2	0	2	1.000
scenario_seeds	baseline	none	+0.00	18	50	2	2	0.967	1	0	1	0	
scenario_seeds	baseline	none	+0.00	19	50	3	3	0.950	1	1	1	2	1.000
scenario_seeds	baseline	none	+0.00	20	50	3	2	0.950	0	2	1	2	1.000
scenario_seeds	baseline	none	+0.00	21	50	6	4	0.900	3	2	1	1	1.000
scenario_seeds	baseline	none	+0.00	22	50	5	2	0.917	3	1	1	3	1.000
scenario_seeds	baseline	none	+0.00	23	50	4	1	0.933	0	3	1	1	1.000
scenario_seeds	baseline	none	+0.00	24	50	9	4	0.850	1	5	3	3	1.000
scenario_seeds	baseline	none	+0.00	25	50	7	2	0.883	2	5	0	2	1.000
scenario_seeds	baseline	none	+0.00	26	50	6	2	0.900	3	3	0	2	1.000
scenario_seeds	baseline	none	+0.00	27	50	4	1	0.933	0	4	0	3	1.000
scenario_seeds	baseline	none	+0.00	28	50	1	1	0.983	0	0	1	1	1.000
scenario_seeds	baseline	none	+0.00	29	50	4	1	0.933	2	2	0	0	
scenario_seeds	baseline	none	+0.00	30	50	5	3	0.917	3	2	0	2	1.000
scenario_seeds	baseline	none	+0.00	31	50	6	3	0.900	2	4	0	3	1.000
scenario_seeds	baseline	none	+0.00	32	50	3	2	0.950	2	0	1	0	
scenario_seeds	baseline	none	+0.00	33	50	3	3	0.950	3	0	0	1	1.000
scenario_seeds	baseline	none	+0.00	34	50	4	3	0.933	3	1	0	3	1.000
scenario_seeds	baseline	none	+0.00	35	50	1	1	0.983	0	0	1	0	
scenario_seeds	baseline	none	+0.00	36	50	5	5	0.917	1	2	2	0	
scenario_seeds	baseline	none	+0.00	37	50	4	1	0.933	0	3	1	1	1.000
scenario_seeds	baseline	none	+0.00	38	50	2	1	0.967	0	2	0	1	1.000
