sweep	scenario	trait	delta	seed	steps	conversions	syncretisms	retention_rate	conv_to_salvation	conv_to_practical	conv_to_other	early_conversions	early_convert_retention
tolerance	baseline	tolerance	-0.20	1	50	266	0	0.958	60	56	150	68	1.000
tolerance	baseline	tolerance	-0.20	2	50	296	0	0.954	51	67	178	86	1.000
tolerance	baseline	tolerance	-0.20	3	50	281	0	0.956	51	66	164	67	1.000
tolerance	baseline	tolerance	-0.20	4	50	262	0	0.959	52	69	141	62	1.000
tolerance	baseline	tolerance	-0.20	5	50	262	0	0.959	45	70	147	64	1.000
tolerance	baseline	tolerance	-0.20	6	50	269	0	0.958	55	61	153	62	1.000
tolerance	baseline	tolerance	-0.20	7	50	301	0	0.953	57	67	177	74	1.000
tolerance	baseline	tolerance	-0.20	8	50	266	0	0.958	46	62	158	70	1.000
tolerance	baseline	tolerance	-0.20	9	50	272	0	0.958	52	58	162	56	1.000
tolerance	baseline	tolerance	-0.20	10	50	272	0	0.958	40	51	181	54	1.000
tolerance	baseline	tolerance	-0.10	1	50	270	38	0.958	62	60	148	67	1.000
tolerance	baseline	tolerance	-0.10	2	50	304	46	0.953	53	72	179	79	1.000
tolerance	baseline	tolerance	-0.10	3	50	286	40	0.955	51	72	163	81	1.000
tolerance	baseline	tolerance	-0.10	4	50	263	41	0.959	52	71	140	75	1.000
tolerance	baseline	tolerance	-0.10	5	50	263	30	0.959	46	75	142	60	1.000
tolerance	baseline	tolerance	-0.10	6	50	271	34	0.958	56	63	152	62	1.000
tolerance	baseline	tolerance	-0.10	7	50	306	33	0.952	57	70	179	78	1.000
tolerance	baseline	tolerance	-0.10	8	50	271	33	0.958	45	66	160	71	1.000
tolerance	baseline	tolerance	-0.10	9	50	276	37	0.957	52	62	162	68	1.000
tolerance	baseline	tolerance	-0.10	10	50	271	35	0.958	38	52	181	56	1.000
tolerance	baseline	tolerance	+0.00	1	50	278	105	0.957	61	68	149	65	1.000
tolerance	baseline	tolerance	+0.00	2	50	313	122	0.951	54	81	178	85	1.000
tolerance	baseline	tolerance	+0.00	3	50	290	102	0.955	51	79	160	75	1.000
tolerance	baseline	tolerance	+0.00	4	50	275	111	0.957	51	86	138	74	1.000
tolerance	baseline	tolerance	+0.00	5	50	269	83	0.958	46	80	143	60	1.000
tolerance	baseline	tolerance	+0.00	6	50	275	95	0.957	56	70	149	63	1.000
tolerance	baseline	tolerance	+0.00	7	50	311	115	0.951	58	79	174	73	1.000
tolerance	baseline	tolerance	+0.00	8	50	274	98	0.957	46	68	160	62	1.000
tolerance	baseline	tolerance	+0.00	9	50	286	102	0.955	52	74	160	70	1.000
tolerance	baseline	tolerance	+0.00	10	50	283	100	0.956	40	63	180	64	1.000
tolerance	baseline	tolerance	+0.10	1	50	308	208	0.952	63	92	153	78	1.000
tolerance	baseline	tolerance	+0.10	2	50	337	241	0.947	52	116	169	85	1.000
tolerance	baseline	tolerance	+0.10	3	50	307	204	0.952	51	106	150	81	1.000
tolerance	baseline	tolerance	+0.10	4	50	306	212	0.952	51	120	135	88	1.000
tolerance	baseline	tolerance	+0.10	5	50	295	189	0.954	45	95	155	74	1.000
tolerance	baseline	tolerance	+0.10	6	50	300	208	0.953	56	93	151	75	1.000
tolerance	baseline	tolerance	+0.10	7	50	328	219	0.949	58	95	175	89	1.000
tolerance	baseline	tolerance	+0.10	8	50	302	194	0.953	47	93	162	66	1.000
tolerance	baseline	tolerance	+0.10	9	50	322	215	0.950	53	103	166	87	1.000
tolerance	baseline	tolerance	+0.10	10	50	312	209	0.951	41	90	181	83	1.000
tolerance	baseline	tolerance	+0.20	1	50	325	270	0.949	63	109	153	86	1.000
tolerance	baseline	tolerance	+0.20	2	50	353	291	0.945	53	133	167	93	1.000
tolerance	baseline	tolerance	+0.20	3	50	331	273	0.948	51	128	152	95	1.000
tolerance	baseline	tolerance	+0.20	4	50	325	260	0.949	50	128	147	98	1.000
tolerance	baseline	tolerance	+0.20	5	50	307	257	0.952	45	111	151	83	1.000
tolerance	baseline	tolerance	+0.20	6	50	328	269	0.949	56	109	163	80	1.000
tolerance	baseline	tolerance	+0.20	7	50	344	287	0.946	58	114	172	99	1.000
tolerance	baseline	tolerance	+0.20	8	50	323	272	0.950	47	111	165	70	1.000
tolerance	baseline	tolerance	+0.20	9	50	338	274	0.947	53	125	160	88	1.000
tolerance	baseline	tolerance	+0.20	10	50	331	284	0.948	41	118	172	101	1.000
tolerance	famine	tolerance	-0.20	1	50	962	0	0.851	356	585	21	562	0.993
